fecha,tmed,prec,tmin,tmax,sol
07-09-2023,"25,40","0,00","21,90","28,80","8,50"
08-09-2023,"25,00","0,00","22,00","28,00","6,60"
09-09-2023,"24,60","0,00","20,80","28,30","9,50"
10-09-2023,"25,00","0,00","21,20","28,80","9,50"
11-09-2023,"24,90","0,00","21,10","28,70","9,80"
13-09-2023,"23,90","0,00","20,20","27,60","7,20"
18-09-2023,"24,40","0,00","20,60","28,20","6,50"
20-09-2023,"23,40","0,00","16,20","30,60","10,90"
21-09-2023,"25,30","0,00","20,80","29,80","8,00"
22-09-2023,"24,20","0,00","19,20","29,20","10,40"
23-09-2023,"21,10","0,00","15,80","26,40","11,50"
24-09-2023,"22,20","0,00","17,40","27,10","11,20"
25-09-2023,"22,30","0,00","18,00","26,60","11,30"
26-09-2023,"22,40","0,00","17,70","27,00","11,20"
27-09-2023,"23,30","0,00","19,60","27,00","11,00"
28-09-2023,"23,40","0,00","19,10","27,80","11,00"
29-09-2023,"23,20","0,00","18,40","28,00","11,20"
30-09-2023,"25,10","0,00","19,00","31,20","11,20"
01-10-2023,"24,40","0,00","18,40","30,30","11,00"
02-10-2023,"23,80","0,00","19,00","28,50","10,50"
03-10-2023,"23,40","0,00","19,40","27,40","10,00"
04-10-2023,"24,60","0,00","20,70","28,40","9,20"
05-10-2023,"23,80","0,00","20,00","27,60","9,60"
06-10-2023,"23,80","0,00","18,90","28,60","10,20"
